brand	from_duplicate	recovered_to
GMV	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/13/Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Wiring__fromdup1.pdf
GMV	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/20/ESQUEMAS CENIA - Série F HET.GMV - Hidraulico.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/ESQUEMAS CENIA - Série F HET.GMV - Hidraulico.pdf
GMV	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/22/Loom.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Loom__fromdup1.pdf
GMV	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/41/2.Esquema HD.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/2.Esquema HD.pdf
GMV	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/96/PVLH 3 phase Controller Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/PVLH 3 phase Controller Wiring.pdf
GMV	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/9e/Loom.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Loom__fromdup2.pdf
GMV	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/fa/Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Wiring__fromdup2.pdf
Kone	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Kone/a9/MONOSPACE ESQ K036084 KSA V3F16L - KONE.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Kone/MONOSPACE ESQ K036084 KSA V3F16L - KONE.pdf
Otis	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Otis/96/OTIS UMV 10N1C DO11S7020A-03 ESQUEMA - OTIS UMV.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Otis/OTIS UMV 10N1C DO11S7020A-03 ESQUEMA - OTIS UMV.pdf
Otis	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Otis/99/gen2 circuits.tif	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Otis/gen2 circuits.tif
Otis	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Otis/ba/OTIS MCS 120 HY ESQUEMA 4881-ST 73KZ5851 - OTIS MCS 120 HY.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Otis/OTIS MCS 120 HY ESQUEMA 4881-ST 73KZ5851 - OTIS MCS 120 HY.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/03/Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Wiring__fromdup1.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/06/Esquema Logic.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Esquema Logic.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/0c/Loom.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Loom__fromdup1.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/11/PHLH 3 phase field wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/PHLH 3 phase field wiring.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/19/ESQUEMA CENIA SÉRIE F HIDR A. DIRECTO (Fechos eléctricos).PDF	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/ESQUEMA CENIA SÉRIE F HIDR A. DIRECTO (Fechos eléctricos).PDF
Bionic	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/21/esquemas BIONIC 5 Table release 4.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Bionic/esquemas BIONIC 5 Table release 4.pdf
Bionic	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/21/Schematics%20BIONIC%205%20Table%20release%204.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Bionic/Schematics%20BIONIC%205%20Table%20release%204.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/21/Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Wiring__fromdup2.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/25/EU_S-Module_2008_09_Rel.4_V08_schematics_EN.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/EU_S-Module_2008_09_Rel.4_V08_schematics_EN.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/25/Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Wiring__fromdup3.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/38/P730 Field Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/P730 Field Wiring.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/43/PVLH 3 Phase Field Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/PVLH 3 Phase Field Wiring.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/49/Loom.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Loom__fromdup2.pdf
CIASA	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/4d/M-6 1V 2 ESQUEMA - CIASA.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CIASA/M-6 1V 2 ESQUEMA - CIASA.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/4d/Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Wiring__fromdup4.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/56/Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Wiring__fromdup5.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/58/Esquema Manobra K_VF KEB F5B.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Esquema Manobra K_VF KEB F5B.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/5e/MC10 esquemas.tif	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/MC10 esquemas__fromdup1.tif
Hidral	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/61/HIDRAL MH-E EE-512 - HIDRAL MH-E.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Hidral/HIDRAL MH-E EE-512 - HIDRAL MH-E.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/69/Loom.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Loom__fromdup3.pdf
CIASA	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/69/M5C ESQUEMA - CIASA.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CIASA/M5C ESQUEMA - CIASA.pdf
Hidral	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/6b/EE-401. Ascensor UH_ - HIDRAL.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Hidral/EE-401. Ascensor UH_ - HIDRAL.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/6b/Esquemas última versão.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Esquemas última versão.pdf
Hidral	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/78/HIDRAL EH EE-311 - HIDRAL EH.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Hidral/HIDRAL EH EE-311 - HIDRAL EH.pdf
MacPuarsa	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/7c/Esquema Variador Omron Duplex MAC.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/MacPuarsa/Esquema Variador Omron Duplex MAC.pdf
Bionic	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/7d/esquemas BIONIC 5 Table release 2.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Bionic/esquemas BIONIC 5 Table release 2.pdf
Bionic	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/7d/Schematics%20BIONIC%205%20Table%20release%202.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Bionic/Schematics%20BIONIC%205%20Table%20release%202.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/7f/CB29 Panel Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/CB29 Panel Wiring.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/80/Loom.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Loom__fromdup4.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/80/PHLH  Single phase field wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/PHLH  Single phase field wiring.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/81/Loom.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Loom__fromdup5.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/83/Esquema 27-05-2022.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Esquema 27-05-2022.pdf
Express	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/83/Express Evans Hydraulic Electrical Drawings.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Express/Express Evans Hydraulic Electrical Drawings.pdf
CIASA	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/85/2V ESQUEMA - CIASA BRAUN.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CIASA/2V ESQUEMA - CIASA BRAUN.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/86/Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Wiring__fromdup6.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/8d/PVLH Single Phase Controller Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/PVLH Single Phase Controller Wiring.pdf
CIASA	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/97/7D4A 1V ESQUEMA - CIASA.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CIASA/7D4A 1V ESQUEMA - CIASA.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/97/CHLH Star Delta Field Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/CHLH Star Delta Field Wiring.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/97/Loom.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Loom__fromdup6.pdf
MacPuarsa	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/9a/MP MICROSIMPLEX V.1.00 ESQUEMA 2V - MP MICROSIMPLEX.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/MacPuarsa/MP MICROSIMPLEX V.1.00 ESQUEMA 2V - MP MICROSIMPLEX.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/a0/PVLH Single Phase Field Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/PVLH Single Phase Field Wiring.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/a1/Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Wiring__fromdup7.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/a6/ESQUEMA LIGAÇÕES.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/ESQUEMA LIGAÇÕES.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/ac/Loom.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Loom__fromdup7.pdf
Express	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/b0/Express DC2 Electrical Drawings.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Express/Express DC2 Electrical Drawings.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/b2/ASCM_STD_ENG Standard Circuit Diagrams.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/ASCM_STD_ENG Standard Circuit Diagrams__fromdup1.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/bf/CB29 Connection.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/CB29 Connection.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/cf/MC10 esquemas.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/MC10 esquemas__fromdup1.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/d4/Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Wiring__fromdup8.pdf
CIASA	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/d6/7M1 1V ESQUEMA - CIASA.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CIASA/7M1 1V ESQUEMA - CIASA.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/d7/S41307295 - Schematic.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/S41307295 - Schematic.pdf
Hidral	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/e1/NT042-DE-Ascensores Hidráulicos unifamiliares Hidral com comandos com esquema ref PAV11.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Hidral/NT042-DE-Ascensores Hidráulicos unifamiliares Hidral com comandos com esquema ref PAV11.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/e2/CHLH DOL Field Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/CHLH DOL Field Wiring.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/e2/safe circuit diagram.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/safe circuit diagram.pdf
CIASA	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/e9/BN 20P 1V RT1 ESQUEMA - CIASA BRAUN.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CIASA/BN 20P 1V RT1 ESQUEMA - CIASA BRAUN.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/ee/Brake circuit diagram.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Brake circuit diagram.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/ef/Loom.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Loom__fromdup8.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/ef/Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Wiring__fromdup9.pdf
CIASA	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/f0/M6 1V ESQUEMA - CIASA.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CIASA/M6 1V ESQUEMA - CIASA.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/f0/Pvlhd Controller Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/Pvlhd Controller Wiring.pdf
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/f2/(5)  ESQUEMA HIDRAULICO QCP-QCPD-QCS-QDX.PDF	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/(5)  ESQUEMA HIDRAULICO QCP-QCPD-QCS-QDX.PDF
Sem_Marca	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Sem_Marca/f9/Loom.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Loom__fromdup9.pdf
TKE	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/TKE/04/NT060-DE-Manobra K-Esquema ligaçoes modulo display LCD azul.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/TKE/NT060-DE-Manobra K-Esquema ligaçoes modulo display LCD azul.pdf
TKE	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/TKE/3f/THYSSEN SERIE B ESQUEMA - THYSSEN SERIE B.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/TKE/THYSSEN SERIE B ESQUEMA - THYSSEN SERIE B.pdf
TKE	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/TKE/6c/NT048-DE-Defeito ligacoes transformador alimentacao travao-s.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/TKE/NT048-DE-Defeito ligacoes transformador alimentacao travao-s.pdf
TKE	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/TKE/6c/NT048-DE-Defeito ligacoes transformador alimentacao travao-synergy.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/TKE/NT048-DE-Defeito ligacoes transformador alimentacao travao-synergy.pdf
TKE	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/TKE/84/THYSSEN TCI ESQUEMAS II - THYSSEN TCI.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/TKE/THYSSEN TCI ESQUEMAS II - THYSSEN TCI.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Wittur/1f/P730D VF Field Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/P730D VF Field Wiring.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Wittur/44/CHLH Single Speed Field wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/CHLH Single Speed Field wiring__fromdup1.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Wittur/66/P730D Single Speed Field Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/P730D Single Speed Field Wiring.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Wittur/81/Pvlhd Field Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/Pvlhd Field Wiring.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Wittur/e5/P730D Field Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/P730D Field Wiring.pdf
